id,stratum,pmcid,doi,source_doi,license_pool,has_structure,source_url,ir_bands_preview,auditor,source_found,bands_match,truncation_artifact,pairing_ok,completeness,name_structure_ok,confidence,notes
ONZNTVWSXSVUHQ-UHFFFAOYSA-N,B,,10.22000/OGoEQGlsZGElrgst,10.22000/OGoEQGlsZGElrgst,sharealike,true,https://doi.org/10.22000/OGoEQGlsZGElrgst,701;710;726;745;784;794;959,Rudra,N,cannot_tell,NA,unsure,major_missing,NA,5,
a088bef889c28135dcfb,B,PMC12284865,,PMC:12284865,non_commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12284865/,926;903;857;827;698;623;525;484;...,,,,,,,,,NOT SCORED — band list absent from HF publish (non-commercial pool). Needs rows from data/irexp_rebuild_20260910/ before any field can be scored.
aa540b4cadb28a3d2bf6,B,PMC11684009,,PMC:11684009,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11684009/,919;899;878;842;647;612;590;510;...,Rudra,Y,exact,N,unsure,full,NA,5,
ab6aa9ec23d416ff32f5,B,PMC11243167,,PMC:11243167,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11243167/,430;598;689;729;797,Rudra,Y,exact,N,unsure,full,NA,,
c86bf2d78f3be78c533b,B,PMC6641174,,PMC:6641174,empty_unknown,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6641174/,520;548;647;707;756;794;861;952;...,,,,,,,,,NOT SCORED — band list absent from HF publish (non-commercial pool). Needs rows from data/irexp_rebuild_20260910/ before any field can be scored.
cc16b27a0af647dc30a6,B,PMC8999574,,PMC:8999574,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8999574/,943;913;845;804;777;714;686;664;...,Rudra,Y,exact,N,unsure,full,NA,5,
cc3bedc193df45bde9b0,B,PMC12284865,,PMC:12284865,non_commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12284865/,935;890;841;787;707;573;489;413,Rudra,Y,exact,N,unsure,full,NA,5,
d16c3327e6ac95d77888,B,PMC11243167,,PMC:11243167,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11243167/,430;598;689;729;797,Rudra,Y,exact,N,unsure,full,NA,5,
d649b08595576cbe7d10,B,PMC10857387,,PMC:10857387,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10857387/,919;985;983;981;992;911,Rudra,Y,mismatch,N,unsure,major_missing,NA,5,R^2 values reported
f79389c94dad06070005,B,PMC4329623,,PMC:4329623,non_commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4329623/,417;930;594;514;463;422;635,Rudra,Y,mismatch,Y,unsure,major_missing,NA,5,"Values incorrect, correct values are 3417, 2930, 1594, 1514, 1463, 1422, 1267, 1224, 1125, 1075, 635"
195d746f8202d5d2ae16,C,PMC11277446,,PMC:11277446,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11277446/,3374;2908;1232;1097;889;706;538.39;537.45,Rudra,Y,subset_ok,N,unsure,major_missing,NA,4,538.39 and 537.45 are LC/MS values
2585454c3e4b12b5472c,C,PMC11434080,,PMC:11434080,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11434080/,1730.49;1718.46;1461.95;1453.93,Rudra,Y,exact,N,unsure,full,NA,4,
8b87449fd0d1b9d0d8ac,C,PMC9268699,,PMC:9268699,commercial,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9268699/,974;1080;1107;1209;1456;1582;2243;2858;...,Rudra,Y,subset_ok,N,unsure,full,NA,4,453.58 is the molecular mass
CBWNIAHQIHAUHZ-UHFFFAOYSA-N,C,PMC8949195,,PMC:8949195,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8949195/,737.34;812;1006;1072;1177;1251;1288;1325;...,Rudra,Y,exact,N,Y,full,Y,4,
CNXIUULCNPOPGB-UHFFFAOYSA-N,C,PMC10974089,,PMC:10974089,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10974089/,2921;2851;1645;1531;1465;1416;1190;1135;...,Rudra,Y,subset_ok,Y,Y,major_missing,Y,4,Missing 758 and 673
IBXKIIORNYEEBU-UHFFFAOYSA-N,C,PMC11138863,,PMC:11138863,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11138863/,3145;2975;2360;1725;1619;1493;1424;1388;...,Rudra,Y,exact,N,Y,full,Y,4,
JBLXXAPSQWVHBK-UHFFFAOYSA-N,C,PMC11277446,,PMC:11277446,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11277446/,3369;3339;3007;2989;1251;846;438.56;437.39,Rudra,Y,subset_ok,N,Y,full,Y,4,"438.56 is LC/MS, 437.39 is the MW"
JRPVHWBKWTWJHD-UHFFFAOYSA-N,C,PMC10935382,,PMC:10935382,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10935382/,2966.6;2933.2;2110.6;1559.3;1451.4;1381.8;1319.9;1073.4;...,Rudra,Y,exact,N,Y,full,Y,4,
KKKKRWVKEYPHEE-IDUWFGFVSA-N,C,PMC8839324,,PMC:8839324,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8839324/,3343.44;3263.4;1683.78;1592.16;1570.95,Rudra,Y,exact,N,Y,full,Y,4,
LLNIBXUJVUSQJS-UHFFFAOYSA-N,C,PMC11277446,,PMC:11277446,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11277446/,3376;3012;2907;1220;1103;891;719;468.53;...,Rudra,Y,subset_ok,N,Y,full,Y,4,"468.53 is LC/MS, 467.43 is MW"
PDNBUANCLWLWLW-UHFFFAOYSA-N,C,PMC10974089,,PMC:10974089,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10974089/,2922;2852;1646;1529;1399;1190;1134;572;...,Rudra,Y,exact,N,Y,major_missing,Y,4,757 and 672 missing
USMCBFNLEAPJRN-SXGWCWSVSA-N,C,PMC8839324,,PMC:8839324,commercial,true,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8839324/,3230.61;1722.35;1693.42;1596.02;1577.7,Rudra,Y,exact,N,Y,full,Y,4,
